日付,時刻,始値,高値,安値,終値,出来高,売買代金
2012-10-15,15:00,2268,2268,2268,2268,669300,1517972400
2012-10-15,14:55,2251,2269,2251,2267,1604000,3627127400
2012-10-15,14:50,2246,2254,2239,2252,885200,1988027700
2012-10-15,14:45,2230,2247,2224,2247,833000,1860318100
2012-10-15,14:40,2226,2235,2226,2230,547600,1221676900
2012-10-15,14:35,2234,2237,2226,2226,625800,1396964000
2012-10-15,14:30,2232,2239,2232,2234,371300,829970500
2012-10-15,14:25,2238,2242,2230,2233,550900,1231255100
2012-10-15,14:20,2246,2248,2236,2239,379900,851958300
2012-10-15,14:15,2254,2255,2237,2246,644700,1447258200
2012-10-15,14:10,2258,2258,2247,2254,708800,1596302100
2012-10-15,14:05,2260,2266,2257,2257,404200,914138300
2012-10-15,14:00,2270,2273,2256,2259,504600,1141987000
2012-10-15,13:55,2275,2276,2269,2270,393400,894206700
2012-10-15,13:50,2274,2275,2268,2275,308200,700225700
2012-10-15,13:45,2271,2277,2270,2274,262400,596418600
2012-10-15,13:40,2279,2279,2263,2273,467600,1061555000
2012-10-15,13:35,2275,2280,2273,2279,325700,741803300
2012-10-15,13:30,2276,2280,2273,2275,298300,678931500
2012-10-15,13:25,2289,2292,2274,2276,477000,1088924400
2012-10-15,13:20,2288,2295,2288,2290,364000,834173100
2012-10-15,13:15,2289,2297,2287,2288,579400,1328359700
2012-10-15,13:10,2277,2294,2277,2290,741600,1696415500
2012-10-15,13:05,2269,2280,2269,2278,614800,1399113200
2012-10-15,13:00,2267,2271,2260,2269,420800,953761100
2012-10-15,12:55,2268,2271,2262,2267,414200,938761900
2012-10-15,12:50,2258,2274,2258,2269,678200,1537830900
2012-10-15,12:45,2263,2263,2250,2258,357800,807411000
2012-10-15,12:40,2265,2269,2254,2262,389300,880610900
2012-10-15,12:35,2265,2272,2260,2265,509200,1154373900
2012-10-15,12:30,2262,2274,2251,2267,1352100,3059125400
2012-10-15,11:30,2262,2262,2262,2262,33100,74872200
2012-10-15,11:25,2245,2268,2243,2263,837600,1891399000
2012-10-15,11:20,2247,2248,2240,2246,596800,1339374100
2012-10-15,11:15,2246,2258,2242,2247,1103800,2481715500
2012-10-15,11:10,2233,2246,2226,2246,767000,1716672600
2012-10-15,11:05,2234,2242,2231,2233,638400,1427687200
2012-10-15,11:00,2223,2233,2219,2233,649900,1445796300
2012-10-15,10:55,2223,2228,2216,2223,674000,1498456600
2012-10-15,10:50,2211,2225,2210,2223,580200,1286858500
2012-10-15,10:45,2229,2229,2200,2212,1742600,3854862000
2012-10-15,10:40,2232,2236,2229,2230,906100,2022632100
2012-10-15,10:35,2272,2272,2226,2230,1776700,3994822900
2012-10-15,10:30,2278,2279,2268,2273,432900,984013300
2012-10-15,10:25,2275,2290,2272,2279,690400,1573679000
2012-10-15,10:20,2272,2277,2271,2275,470200,1069244300
2012-10-15,10:15,2270,2277,2267,2272,675900,1534734900
2012-10-15,10:10,2275,2276,2262,2270,659100,1495360800
2012-10-15,10:05,2290,2292,2267,2275,869500,1981407000
2012-10-15,10:00,2291,2293,2278,2290,652300,1490505100
2012-10-15,09:55,2280,2291,2274,2291,719600,1641939200
2012-10-15,09:50,2276,2284,2267,2278,747300,1700223500
2012-10-15,09:45,2286,2294,2259,2277,1119700,2545019300
2012-10-15,09:40,2273,2288,2272,2286,1024700,2337677500
2012-10-15,09:35,2263,2286,2263,2274,1363200,3101001100
2012-10-15,09:30,2328,2328,2256,2264,3388700,7757498800
2012-10-15,09:25,2339,2344,2325,2327,842600,1967237700
2012-10-15,09:20,2340,2343,2321,2340,1879400,4382610500
2012-10-15,09:15,2370,2372,2336,2340,1617500,3807587800
2012-10-15,09:10,2376,2383,2355,2372,1374400,3255123900
2012-10-15,09:05,2410,2413,2376,2377,1665300,3986817700
2012-10-15,09:00,2396,2410,2352,2410,4732600,11324413800
